lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
125.,Geigerhilk,Jochen,TTL Bamberg,6,245,Bezirksliga,2003,Oberfranken
126.,Meixner,Claus,1. FC Baunach 2,5,245,Bezirksliga,2003,Oberfranken
127.,Dütsch,Thomas,SpVgg Rattelsdorf 2,5,245,Bezirksliga,2003,Oberfranken
128.,Kalb,Benjamin,VfL Jahn Bamberg,5,245,Bezirksliga,2003,Oberfranken
129.,Riedhammer,Markus,1.FC 01 Bamberg,4,245,Bezirksliga,2003,Oberfranken
130.,Reich,Marco,BG Litzendorf,4,245,Bezirksliga,2003,Oberfranken
131.,Dobbener,Nils,BG Litzendorf,3,245,Bezirksliga,2003,Oberfranken
132.,Jung,Adrian,TTL Bamberg,3,245,Bezirksliga,2003,Oberfranken
133.,Harrison,George,BSC Saas Bayreuth,3,245,Bezirksliga,2003,Oberfranken
134.,Heink,Rüdiger,BSC Saas Bayreuth,2,245,Bezirksliga,2003,Oberfranken
135.,Lunz,Markus,TSV Breitengüßbach 4,2,245,Bezirksliga,2003,Oberfranken
136.,Koch,Hagen,1. FC Baunach 2,2,245,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken),Statistikdaten (Saison: 2003/2004) - Bezirksliga Herren (Senioren Oberfranken),Team Statistiken,Beste Werfer/innen,245,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,245,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,245,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,245,Bezirksliga,2003,Oberfranken
